gbifId,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,numObservations,scientificName,iucnCategory,genus,family,order,genusKey,familyKey,orderKey,ebirdId,commonName,discoveryYear,discoverer,commonName_ca,commonName_zh,commonName_zh-TW,commonName_hr,commonName_cs,commonName_da,commonName_nl,commonName_en,commonName_et,commonName_fi,commonName_fr,commonName_de,commonName_hu,commonName_it,commonName_ja,commonName_lt,commonName_no,commonName_pl,commonName_pt,commonName_ru,commonName_sr,commonName_sk,commonName_es,commonName_sv,commonName_tr,commonName_uk,commonName_af,commonName_ar,commonName_be,commonName_bg,commonName_el,commonName_he,commonName_is,commonName_id,commonName_ko,commonName_lv,commonName_mk,commonName_ml,commonName_se,commonName_fa,commonName_th
2493128,2,0,197,6002,10222,5687,2704,1590,670,119,4,2,0,0,0,0,1,0,4,4,12,19,15,7,6,5,4,6,10,5,9,6,4,1,1,0,27199,Acrocephalus arundinaceus,LC,Acrocephalus,Acrocephalidae,Passeriformes,2493112.0,6101019.0,729.0,grrwar1,Great Reed Warbler,1758,Linnaeus,balquer,大苇莺,西方大葦鶯,veliki trstenjak,rákosník velký,Drosselrørsanger,Grote Karekiet,Great Reed Warbler,rästas-roolind,rastaskerttunen,Rousserolle turdoïde,Drosselrohrsänger,nádirigó,Cannareccione,ニシオオヨシキリ,didžioji krakšlė,trostesanger,trzciniak (zwyczajny),rouxinol-grande-dos-caniços,Дроздовидная камышевка,Veliki trstenjak,trsteniarik veľký,Carricero tordal,trastsångare,Büyük Kamışçın,очеретянка велика,Grootrietsanger,هازجة القصب الكبيرة,Драздовая чаротаўка,Тръстиково шаварче,Τσιχλοποταμίδα,קנית אירופית,Reyrsöngvari,,,niedru strazds,обичен трскар,,Rásttesruoššehas,سسک نیزار بزرگ,
2481749,1757,1217,1686,2530,1791,71,619,4015,5933,3041,1859,1976,0,3,1,4,0,1,1,5,19,17,28,32,37,30,16,26,24,13,14,16,4,1,0,0,26495,Calidris minuta,NE,Calidris,Scolopacidae,Charadriiformes,2481739.0,5282.0,7192402.0,litsti,Little Stint,1812,Leisler,territ menut comú,小滨鹬,小濱鷸,mali žalar,jespák malý,Dværgryle,Kleine Strandloper,Little Stint,väikerüdi e. väikerisla,pikkusirri,Bécasseau minute,Zwergstrandläufer,apró partfutó,Gambecchio comune,ヨーロッパトウネン,mažasis bėgikas,dvergsnipe,biegus malutki,pilrito-pequeno,Кулик-воробей,Mala sprutka,pobrežník malý,Correlimos menudo,småsnäppa,Küçük Kumkuşu,побережник малий,Kleinstrandloper,دريجة صغيرة,Малы кiркун,Малък брегобегач,(Κοινή) Νανοσκαλίδρα,חופית קטנה,Veimiltíta,,작은도요,trulītis,мал свиркач,കുരുവി മണലൂതി,Uhcaviroš,تلیله کوچک,นกสติ๊นท์เล็ก
2479226,2420,2328,2740,3114,2627,1616,1174,1309,1944,2488,2164,2509,3,2,0,3,2,1,6,15,35,60,63,62,69,54,50,52,76,83,91,39,16,5,4,0,26433,Psittacula krameri,NE,Psittacula,Psittacidae,Psittaciformes,2479192.0,9340.0,1445.0,rorpar,Rose-ringed Parakeet,1769,Scopoli,cotorra de Kramer,红领绿鹦鹉,紅領綠鸚鵡,mala aleksandra,alexandr malý,Alexanderparakit,Halsbandparkiet,Rose-ringed Parakeet,kaeluspapagoi,kauluskaija,Perruche à collier,Halsbandsittich,örvös papagáj,Parrocchetto dal collare,ホンセイインコ,Kramerio žieduotoji papūga,halsbåndparakitt,aleksandretta obrożna,periquito-de-colar,Попугай Крамера,Mali aleksandar,alexander malý,Cotorra de Kramer,halsbandsparakit,Yeşil Papağan,папужець Крамера,Ringnekparkiet,درة مطوقة,,Малък огърличен папагал,Πράσινος Παπαγάλος,דררה,Grænpáfi,,,Krāmera papagailis,,മോതിരത്തത്ത,Gierdopáhpegoijá,طوطی طوق‌ صورتی,
2481861,2553,1663,1423,1449,1485,1203,1585,2621,3116,3170,2785,3169,0,2,0,0,0,1,2,4,15,29,57,73,70,53,40,44,51,33,39,18,12,3,0,0,26222,Gulosus aristotelis,LC,Phalacrocorax,Phalacrocoracidae,Suliformes,2481854.0,5268.0,7192775.0,eursha1,European Shag,1761,Linnaeus,corb marí emplomallat,欧鸬鹚,長冠鸕鷀,morski vranac,kormorán chocholatý,Topskarv,Kuifaalscholver,European Shag,karikormoran e. karikarbas,karimetso,Cormoran huppé,Krähenscharbe,üstökös kárókatona,Marangone dal ciuffo,ヨーロッパヒメウ,kuoduotasis kormoranas,toppskarv,kormoran czubaty,galheta,Хохлатый баклан,Morski vranac,kormorán chochlatý,Cormorán moñudo,toppskarv,Tepeli Karabatak,баклан чубатий,,غاقة أوروبية,,Среден корморан,Θαλασσοκόρακας,קורמורן ימי,Toppskarfur,,,cekulainais ūdenis,морски корморан,,Vuoktaskárfa,,
2491557,5364,4651,3408,641,388,171,161,224,222,1235,3897,5427,0,0,0,0,0,0,0,3,11,15,29,26,24,19,10,5,11,18,3,0,0,1,0,0,25789,Emberiza schoeniclus,NE,Emberiza,Emberizidae,Passeriformes,2491468.0,9608.0,729.0,reebun,Reed Bunting,1758,Linnaeus,repicatalons,芦鹀,蘆鵐,močvarna strnadica,strnad rákosní,Rørspurv,Rietgors,Common Reed Bunting,rootsiitsitaja,pajusirkku,Bruant des roseaux,Rohrammer,nádi sármány,Migliarino di palude,オオジュリン,nendrinė starta,sivspurv,potrzos (zwyczajny),escrevedeira-dos-caniços,Камышовая овсянка,Barska strnadica,strnádka trstinová,Escribano palustre,sävsparv,Bataklık Çintesi,вівсянка очеретяна,,درسة القصب,Стрынатка-чаротаўка,Тръстикова овесарка,(Μεγάλο) Καλαμοτσίχλονο,גיבתון סוף,Seftittlingur,,검은머리쑥새,niedru stērste,блатна стрнарка,,Suovkacihci,زرد پره تالابی,
2481909,986,1063,2076,2456,2300,1496,1123,2441,6452,3053,1064,1067,3,2,1,3,0,3,2,6,22,29,47,53,45,24,32,29,29,29,25,27,10,2,3,1,25577,Ciconia nigra,LC,Ciconia,Ciconiidae,Ciconiiformes,2481908.0,9289.0,839.0,blasto1,Black Stork,1758,Linnaeus,cigonya negra,黑鹳,黑鸛,crna roda,čáp černý,Sort Stork,Zwarte Ooievaar,Black Stork,must-toonekurg,mustahaikara,Cigogne noire,Schwarzstorch,fekete gólya,Cicogna nera,ナベコウ,juodasis gandras,svartstork,bocian czarny,cegonha-preta,Чёрный аист,Crna roda,bocian čierny,Cigüeña negra,svart stork,Kara Leylek,лелека чорний,Grootswartooievaar,لقلق اسود,Чорны бусел,Черен щъркел,Μαύρος Πελαργός,חסידה שחורה,Kolstorkur,,먹황새,melnais stārķis,црн штрк,കരിമ്പകം,Čáhppesháigir,لک ‌لک سیاه,นกกระสาดำ
2480506,1763,2089,2414,2826,2609,1675,1667,2328,2322,2170,1798,1780,1,2,0,0,0,3,0,2,13,14,32,42,53,23,26,24,20,23,18,8,4,1,2,0,25441,Aquila chrysaetos,NE,Aquila,Accipitridae,Accipitriformes,2480498.0,2877.0,7191147.0,goleag,Golden Eagle,1758,Linnaeus,àguila daurada,金雕,金鵰,suri orao,orel skalní,Kongeørn,Steenarend,Golden Eagle,kaljukotkas e. maakotkas,maakotka,Aigle royal,Steinadler,szirti sas,Aquila reale,イヌワシ,kilnusis erelis,kongeørn,orzeł przedni,águia-real,Беркут,Suri orao,orol skalný,Águila real,kungsörn,Kaya Kartalı,беркут,,عقاب ذهبية,Арол-маркут,Скален орел,Χρυσαετός,עיט זהוב,Gullörn,,검독수리,klinšu ērglis,златен орел,,Goaskin,عقاب طلایی,
2498112,4291,3179,2736,1137,257,58,51,142,1734,3365,3434,4423,0,1,1,0,3,2,0,4,19,16,39,47,23,30,32,21,38,22,9,4,1,0,0,0,24807,Anas acuta,NE,Anas,Anatidae,Anseriformes,2498056.0,2986.0,1108.0,norpin,Northern Pintail,1758,Linnaeus,ànec cuallarg,针尾鸭,尖尾鴨〔針尾鴨〕,patka lastarka,ostralka štíhlá,Spidsand,Pijlstaart,Northern Pintail,soopart e. pahlsaba-part,jouhisorsa,Canard pilet,Spießente,nyílfarkú réce,Codone,オナガガモ,smailiauodegė antis,stjertand,rożeniec (zwyczajny),arrábio-comum,Шилохвость,Šiljkan,kačica ostrochvostá,Ánade rabudo norteño,stjärtand,Kılkuyruk,шилохвіст північний,Pylsterteend,بلبول شمالي,Качка-шылахвостка,Шилоопашата патица,Ψαλίδα,ברווז חד-זנב,Grafönd,Itik lancip,고방오리,garkaklis,патка ластовичарка,വാലൻ എരണ്ട,Vuojaš,فیلوش,เป็ดหางแหลม
4408732,3480,2337,2226,366,247,217,147,824,3680,3629,3020,3956,0,0,1,2,0,0,1,11,58,55,33,42,28,19,16,9,19,20,20,4,3,2,0,2,24129,Luscinia svecica,NE,Luscinia,Muscicapidae,Passeriformes,5429330.0,9322.0,729.0,blueth,Bluethroat,1758,Linnaeus,cotxa blava,蓝喉歌鸲,藍喉鴝〔藍喉歌鴝，藍點頦〕,modrovoljka,slavík modráček,Blåhals,Blauwborst,Bluethroat,sinirind,sinirinta,Gorgebleue à miroir,Blaukehlchen,kékbegy,Pettazzurro,オガワコマドリ,paprastoji mėlyngurklė,blåstrupe,podróżniczek,pisco-de-peito-azul,Варакушка,Modrovoljka,slávik modrák,Ruiseñor pechiazul,blåhake,Mavigerdan,синьошийка,,هزار أزرق الزور,Кралька (або сiняшыйка),Синьогушка,Γαλαζολαίμης,כחול חזה,Blábrystingur,,흰눈썹울새,zilrīklīte,синогушка,നീലകണ്ഠപ്പക്ഷി,Giellavealgu,گلوآبی,นกคอมรกต
5739317,4,1,883,5598,2158,1092,468,2393,7451,3383,73,15,0,0,1,1,4,0,3,8,23,59,48,50,41,29,15,11,24,26,33,17,3,1,1,0,23519,Phoenicurus phoenicurus,LC,Phoenicurus,Muscicapidae,Passeriformes,5429347.0,9322.0,729.0,comred2,Common Redstart,1758,Linnaeus,cotxa cua-roja,欧亚红尾鸲,紅尾鴝,šumska crvenrepka,rehek zahradní,Rødstjert,Gekraagde Roodstaart,Common Redstart,lepalind e. aed-lepalind,leppälintu,Rougequeue à front blanc,Gartenrotschwanz,kerti rozsdafarkú,Codirosso,シロビタイジョウビタキ,paprastoji raudonuodegė,rødstjert,pleszka (zwyczajna),rabirruivo-de-testa-branca,Горихвостка-лысушка,Obična crvenrepka,žltochvost hôrny,Colirrojo real,rödstjärt,Kızılkuyruk,горихвістка звичайна,Europese Rooistert,حميراء,Звычайная рудахвостка,Градинска червеноопашка,(Κοινός) Φοινίκουρος,חכלילית עצים,Garðaskotta,,서양딱새,erickiņš,лисесто циганче,,Leaibeloddi,دم ‌سرخ معمولی,
