Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S141098540,Ánade azulón,Anas platyrhynchos,505,12,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-06-10,03:44 PM,eBird - Traveling Count,114,1,6.695,,1,,,,583243871 583243881
S141614449,Ánade azulón,Anas platyrhynchos,505,15,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-06-15,12:51 PM,eBird - Traveling Count,87,1,3.862,,1,,,,585066451 585066461 585066471 585066481 585066491 585067261 585068581 585068591 585070551
S141699864,Ánade azulón,Anas platyrhynchos,505,8,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-06-16,10:24 AM,eBird - Traveling Count,74,1,5.311,,1,,,,585368591 585368601
S142340540,Ánade azulón,Anas platyrhynchos,505,8,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-06-22,01:13 PM,eBird - Traveling Count,82,1,3.138,,1,,,,587443831
S147728945,Ánade azulón,Anas platyrhynchos,505,11,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-08-20,08:51 PM,eBird - Traveling Count,99,1,3.267,,1,,,,605389151 605389161
S148070431,Ánade azulón,Anas platyrhynchos,505,20,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-08-25,08:14 PM,eBird - Traveling Count,59,1,2.205,,1,,,,606959661 606959671 606959681 606959691
S148406921,Ánade azulón,Anas platyrhynchos,505,10,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-08-29,08:52 PM,eBird - Traveling Count,100,1,1.915,,1,,,,608271683
S148798207,Ánade azulón,Anas platyrhynchos,505,14,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-09-02,07:07 PM,eBird - Traveling Count,58,1,2.124,,1
S149141694,Ánade azulón,Anas platyrhynchos,505,17,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-09-06,07:44 PM,eBird - Traveling Count,85,1,2.655,,1,,,,608558026
S149209087,Ánade azulón,Anas platyrhynchos,505,8,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-09-07,08:08 PM,eBird - Traveling Count,71,1,2.205,,1
S149333419,Ánade azulón,Anas platyrhynchos,505,23,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-09-08,07:33 PM,eBird - Traveling Count,112,1,3.219,,1,,,,608623584
S150492173,Ánade azulón,Anas platyrhynchos,505,8,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-09-22,07:38 PM,eBird - Traveling Count,48,1,2.157,,1,,,,609159355 609159356
S151013355,Ánade azulón,Anas platyrhynchos,505,17,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-09-29,06:48 PM,eBird - Traveling Count,109,1,3.122,,1,,,,609411065
S151602437,Ánade azulón,Anas platyrhynchos,505,11,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-10-07,12:02 PM,eBird - Traveling Count,139,1,2.623,,1,,,,609704026 609704033 609704034 609704035
S151688822,Ánade azulón,Anas platyrhynchos,505,14,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-10-08,12:13 PM,eBird - Traveling Count,120,1,3.347,,1
S151995144,Ánade azulón,Anas platyrhynchos,505,23,ES-GA,Pontevedra,L6595084,Foz do Miñor--Esteiro de A Foz,42.11751,-8.8189745,2023-10-12,08:47 AM,eBird - Traveling Count,137,1,3.444,,1,,"Una pareja fuera del río Guillade, el el descampado al oeste",,609868066 609868068 609868085
S141227255,Ánade azulón,Anas platyrhynchos,505,16,ES-GA,Pontevedra,L4279363,Vigo--Xunqueira do Lagares,42.2006709,-8.7755656,2023-06-11,03:17 PM,eBird - Traveling Count,120,1,4.104,,1,,Había 4 crías,,583716711 583716721 583716731 583998561
S152014691,Ánade azulón,Anas platyrhynchos,505,5,ES-GA,Pontevedra,L4279363,Vigo--Xunqueira do Lagares,42.2006709,-8.7755656,2023-10-12,03:30 PM,eBird - Traveling Count,112,1,3.653,,1
S140864234,Ánade azulón,Anas platyrhynchos,505,4,BE-VLG,,L6755921,Gent - Centrum,51.0538612,3.7224523,2013-08-19,11:59 AM,eBird - Casual Observation,,0,,,1,,,,582442551
S140765561,Ánade azulón (doméstico),Anas platyrhynchos (Domestic type),508,2,ES-GA,Pontevedra,L25004705,Baiona--Paseo fluvial do río da Groba,42.1068148,-8.819285,2023-05-26,04:45 PM,eBird - Traveling Count,48,0,2.,,1,,,,582104901
S140830667,Ánade azulón (doméstico),Anas platyrhynchos (Domestic type),508,1,ES-GA,Pontevedra,L6477768,Vigo--Parque de Castrelos,42.2135811,-8.7293046,2006-02-03,05:17 PM,eBird - Casual Observation,,0,,,1,,,,582290191
S140864146,Ánade azulón (doméstico),Anas platyrhynchos (Domestic type),508,2,BE-VLG,,L25026890,Brugge--Molenbrug,51.2094999,3.23117,2013-08-20,05:11 PM,eBird - Casual Observation,,0,,,1,,,,583463061
